# omega_b	omega_cdm	h	ln10^{10}A_s	n_s	tau_reio	delta_Neff_drmd	f_idm_drmd	log10z_stop	log10_G_over_aH_drmd
0.02215739	0.1483644	0.6954009	3.136267	0.9677986	0.09646725	0.2850592	0.2058882	2.831748	13.20998
0.02235347	0.14753	0.6955475	3.10992	0.9789193	0.09459573	0.2600593	0.220085	2.906609	13.36758
0.02231034	0.147173	0.686609	3.10232	0.9632354	0.08751047	0.164509	0.2006003	2.702919	13.95781
0.02201266	0.1468619	0.6989305	3.17781	0.966231	0.1178417	0.2580825	0.1815301	2.705767	13.64793
0.02154072	0.1440093	0.6916808	3.072886	0.9675677	0.06128195	0.1983927	0.2532398	3.037414	13.33053
0.02160886	0.1404805	0.7025446	3.070619	0.9774795	0.06723847	0.1619856	0.2037716	2.88962	13.88657
0.021862049	0.1465432	0.7072265	3.051532	0.9767198	0.05866519	0.2748621	0.1962784	2.776137	13.46181
0.023069719	0.1420217	0.7379586	3.12852	0.9983588	0.09744765	0.3290646	0.1576016	2.438359	13.75874
0.022182938	0.14436	0.7224067	3.07752	0.9956373	0.07676917	0.2571412	0.1271451	2.120759	13.64583
0.02212997	0.1467077	0.7150799	3.134236	0.9875656	0.1018498	0.3016791	0.1515536	2.289422	12.29945
0.02249872	0.1429709	0.7326342	3.216407	1.002033	0.1578171	0.3344746	0.1524077	2.348356	12.92085
0.02261045	0.1437343	0.7270436	3.216733	0.9970082	0.1556429	0.3288331	0.1500852	2.213938	13.33041
0.0227798	0.1408756	0.7414512	3.277157	1.007208	0.1835833	0.2756155	0.1374453	2.212018	13.7578
0.022699079	0.1389664	0.7437274	3.267716	1.012743	0.1832946	0.3444734	0.1638571	2.350183	13.76363
0.022288838	0.1427734	0.7251211	3.272442	1.000118	0.1781792	0.2236738	0.1211167	2.144199	13.98036
0.02230134	0.1492437	0.7230467	3.272946	1.004207	0.1655177	0.5019756	0.186329	2.419193	13.44215
0.022844939	0.1491672	0.7327209	3.246475	1.0035	0.1509295	0.3801183	0.1073619	2.059475	13.9906
0.022856249	0.1495237	0.7465408	3.296725	1.01152	0.1796003	0.4827606	0.1141297	2.082468	13.81447
