# R-1 values for each parameter in every iteration
# iterations	omega_b	omega_cdm	h	ln10^{10}A_s	n_s	tau_reio	delta_Neff_drmd	f_idm_drmd	log10z_stop	Combined
1-2	0.085986	0.217794	0.078853	0.088592	0.153775	0.218327	0.009188	0.17976	0.024785	0.218327
2-3	0.013026	0.03285	0.011592	9.1e-05	0.010729	0.001263	0.024132	0.008186	0.013641	0.03285
3-4	0.001768	0.023354	0.002682	0.018903	0.000557	0.025504	0.011068	0.006451	0.028696	0.028696
4-5	5.5e-05	0.006024	0.000835	0.046774	0.006799	0.054752	0.004312	0.089682	0.00396	0.089682
5-6	0.001644	0.00252	0.001934	0.045815	0.00277	0.040947	0.002783	0.025979	0.004883	0.045815
6-7	0.011471	0.055159	0.021231	0.016342	0.004455	0.0378	0.048326	0.266552	0.023855	0.266552
7-8	0.017312	0.018224	0.022215	1.2e-05	0.003234	0.003905	0.028913	0.099367	0.002114	0.099367
8-9	0.008629	0.008023	0.004082	0.002139	0.002588	0.002249	0.005968	0.012589	0.003899	0.012589
9-10	0.028642	0.013881	0.020572	0.011267	0.001836	0.008045	0.019691	0.128127	0.007315	0.128127
10-11	0.017196	0.002727	0.025008	0.003013	0.032729	0.000118	0.016003	0.00246	0.016153	0.032729
