# omega_b	omega_cdm	h	ln10^{10}A_s	n_s	tau_reio	delta_Neff_drmd	f_idm_drmd	log10z_stop
0.02288382	0.1266851	0.7097359	3.067269	0.9677834	0.06731816	0.4447247	0.9545357	4.515661
0.022843659	0.125632	0.7178653	3.056368	0.9706318	0.06721625	0.4559711	0.9363597	4.395449
0.0226811	0.1243922	0.7102255	3.063215	0.9745542	0.07461849	0.4147951	0.9275298	4.37695
0.02267232	0.1259969	0.7078941	3.072598	0.970673	0.07554705	0.4047074	0.948481	4.457821
0.02276374	0.1241202	0.7172296	3.078724	0.9768588	0.08389377	0.4323189	0.9469502	4.424349
0.022932438	0.1234805	0.713896	3.067933	0.9748823	0.07911939	0.3790561	0.929867	4.424156
0.02313007	0.1212119	0.7252944	3.065271	0.9826815	0.08188018	0.3854222	0.9253187	4.365017
0.023157788	0.1197583	0.7345906	3.076285	0.9880762	0.08618229	0.4110763	0.9079016	4.270883
0.023097701	0.1192176	0.731777	3.073078	0.9918829	0.08147506	0.3787436	0.9263283	4.196859
0.02289526	0.1204092	0.731918	3.093803	0.9887595	0.09221842	0.402424	0.9420721	4.194792
0.02299141	0.1221403	0.7256389	3.075612	0.9821107	0.08510992	0.4477517	0.9531036	4.189655
0.022791099	0.123326	0.7137846	3.049769	0.9834158	0.071892	0.3699168	0.9597107	4.200466
0.02283786	0.122895	0.7206532	3.061007	0.9840237	0.07562308	0.4088512	0.9554935	4.218396
0.022667041	0.1225253	0.7332989	3.086061	0.9843462	0.08686938	0.5186475	0.9667498	4.295425
0.02273266	0.1230729	0.7333964	3.080283	0.9816985	0.08262967	0.5312785	0.9459258	4.304305
0.02276688	0.122117	0.7312682	3.092074	0.9831013	0.09219158	0.510019	0.9536623	4.36178
0.02290658	0.1214205	0.7294383	3.068186	0.9774937	0.0794391	0.4457392	0.9442482	4.316201
0.02314829	0.1209103	0.7431187	3.066422	0.9763492	0.07936199	0.4956196	0.93974	4.270132
0.022996048	0.1228186	0.729191	3.064892	0.979572	0.07531893	0.4802636	0.8802402	4.250174
0.02301331	0.1217627	0.728805	3.071506	0.9819203	0.07988097	0.4128494	0.8543174	4.319456
0.02294598	0.1216061	0.7336273	3.047963	0.9811027	0.07196888	0.4324997	0.8693517	4.285467
0.02279165	0.1225728	0.7265302	3.074891	0.9763519	0.08564165	0.4851999	0.9112451	4.276335
0.02279732	0.1235044	0.7269786	3.055494	0.9734258	0.07081562	0.49947	0.9140893	4.275662
0.022765491	0.1233572	0.7302386	3.062224	0.9761765	0.07545772	0.4959882	0.9165317	4.305484
0.02301383	0.1221018	0.7286525	3.060338	0.980017	0.07639884	0.4728613	0.8912514	4.329559
0.02307321	0.1222941	0.7460178	3.045813	0.9832339	0.07188876	0.5805153	0.933822	4.35599
0.023180958	0.1227286	0.7546514	3.04888	0.9804496	0.06971637	0.6354883	0.9128649	4.275491
0.02340253	0.121133	0.76401	3.036264	0.9858923	0.0604381	0.6425997	0.8936215	4.178135
0.023356399	0.1201982	0.7554916	3.033051	0.9878324	0.06098359	0.575567	0.8921857	4.125024
0.023248259	0.1205805	0.7617743	3.027086	0.9883995	0.0588094	0.6147933	0.8767937	4.071954
0.02341475	0.1186726	0.7457596	3.012122	0.9919362	0.05899294	0.4676578	0.8771445	4.00682
0.023193449	0.121769	0.7438942	3.022955	0.9786864	0.05782972	0.5390461	0.9065001	4.122708
0.02326808	0.1245674	0.7365809	3.027385	0.9685829	0.05527766	0.526331	0.8914954	4.082842
0.023336029	0.1250085	0.7429819	3.013282	0.9709273	0.0462101	0.5968378	0.8840854	4.174783
0.02297065	0.128066	0.7278207	3.026258	0.9676461	0.05109997	0.5777598	0.9055579	4.168618
0.02309335	0.1269704	0.7234137	3.036461	0.9722895	0.05622359	0.5555196	0.9003834	4.210659
0.023216208	0.1266057	0.7193518	3.052817	0.9726747	0.0605189	0.480971	0.9067797	4.232532
0.0234308	0.1273967	0.7211587	3.060928	0.974688	0.06263722	0.477054	0.9042592	4.213651
0.023382898	0.12602	0.7208571	3.075205	0.9782954	0.06941704	0.4802202	0.9003512	4.190627
0.023313811	0.1275603	0.7215429	3.087993	0.9747155	0.07440108	0.5206405	0.9147105	4.211599
0.02308772	0.1275276	0.7070937	3.060041	0.9716251	0.06379052	0.4324689	0.8910731	4.384325
0.02304311	0.1263637	0.7180248	3.05271	0.9703367	0.06144166	0.4699662	0.8750819	4.443211
0.02285536	0.127529	0.726411	3.048447	0.9677908	0.05751044	0.5636868	0.8873456	4.47645
0.02288052	0.1268367	0.741775	3.023607	0.9703114	0.04802558	0.6660514	0.8947859	4.421938
0.02288052	0.1268367	0.741775	3.023607	0.9703114	0.04802558	0.6660514	0.8947859	4.421938
0.023009459	0.1242921	0.7361257	3.010777	0.9749571	0.04970872	0.5224169	0.8723981	4.333484
0.023021258	0.1246899	0.7337168	3.057121	0.9769306	0.06696244	0.5286403	0.8420053	4.463235
0.023102641	0.1239386	0.7373855	3.059452	0.9817854	0.06729553	0.5327166	0.8377148	4.439786
0.023021419	0.1248174	0.7354707	3.047523	0.9791599	0.06015935	0.568133	0.8764496	4.413555
0.023181168	0.1217686	0.7418031	3.059347	0.9869947	0.07013679	0.5070701	0.8792844	4.373509
0.02314949	0.122096	0.7337555	3.055211	0.9846261	0.07191885	0.4604098	0.8925163	4.295727
0.02313311	0.1215752	0.7256065	3.069349	0.9840889	0.08048945	0.4285405	0.9137955	4.3723
0.022985648	0.1224783	0.7293527	3.092242	0.9831092	0.0900871	0.4445157	0.9014879	4.364163
0.023044059	0.1243375	0.7284459	3.074716	0.9714645	0.08144309	0.5027668	0.9127795	4.471024
0.0230497	0.1231251	0.7262997	3.070542	0.9767954	0.08329808	0.4883633	0.8915018	4.493553
0.02302318	0.1232823	0.7310066	3.049057	0.9744088	0.07407267	0.5042951	0.8839591	4.455001
0.02305752	0.1215049	0.7359732	3.074207	0.9845326	0.09301034	0.4723074	0.9045864	4.483285
0.02309387	0.120615	0.7345365	3.071992	0.9886758	0.09323655	0.4630173	0.91678	4.416189
0.02305752	0.1214582	0.7299139	3.057426	0.989841	0.08120886	0.4603027	0.9276546	4.349808
0.02298696	0.1202372	0.738253	3.063934	0.9965497	0.08526613	0.4551641	0.9093422	4.372603
0.022839861	0.1219155	0.7287718	3.062032	0.9919665	0.07802106	0.437352	0.9151407	4.373318
0.022952931	0.1205972	0.7364177	3.069298	0.9944736	0.08468021	0.4412671	0.9194429	4.322845
0.0229143	0.1210833	0.7356788	3.066678	0.9919935	0.07918604	0.5329387	0.9388511	4.333625
0.023056008	0.1214386	0.7480959	3.056372	0.9961644	0.07450409	0.5465674	0.9156851	4.227974
0.022938818	0.1233098	0.7487329	3.081175	0.9933481	0.08462776	0.6291293	0.8321748	4.194179
0.02316148	0.1217763	0.7582806	3.089427	0.9956078	0.08900688	0.6712476	0.8312459	4.127163
0.023344317	0.1201726	0.761595	3.070564	0.9969414	0.08427313	0.6461748	0.8049282	4.094956
0.023286399	0.1221774	0.7557558	3.059789	0.9939391	0.07779831	0.6591492	0.8024481	4.049949
0.02320204	0.1233572	0.7565075	3.040023	0.9918255	0.06753031	0.7034994	0.8103844	4.009315
0.02318345	0.1239749	0.7620844	3.032358	0.9865229	0.06360472	0.7718064	0.8054176	4.009169
0.023215229	0.1245122	0.7623673	3.01802	0.9826977	0.05460694	0.7360345	0.7862328	4.04486
0.023354508	0.1212015	0.7713644	3.047468	0.9901506	0.07461682	0.7163303	0.8023274	4.107605
0.02339312	0.1205932	0.7642688	3.039929	0.9899607	0.07277409	0.6547001	0.7825588	4.057952
0.02349456	0.1192487	0.7654076	3.041588	0.9920991	0.07671339	0.6469179	0.7886919	4.052285
0.02347683	0.1194301	0.7667483	3.047443	0.9888228	0.07819553	0.6531307	0.7805348	4.133742
0.02332448	0.1207864	0.7632935	3.052968	0.9881563	0.0807862	0.6213094	0.7766601	4.141984
0.02351844	0.1198557	0.7670244	3.051887	0.9873337	0.08213176	0.6174112	0.7903892	4.052077
0.02357529	0.1205674	0.7509506	3.064591	0.9923149	0.08450098	0.5553078	0.8151288	4.083409
0.02332102	0.1212626	0.7444998	3.089877	0.9807632	0.09260806	0.5653524	0.7822001	4.251474
0.023369629	0.1214822	0.7375629	3.100343	0.9788192	0.09779239	0.4726691	0.7876658	4.280313
0.02321155	0.1225435	0.7244327	3.102552	0.9796247	0.1009298	0.4314562	0.7692187	4.21614
0.0232322	0.1237109	0.7300153	3.101301	0.9784289	0.09846095	0.4970352	0.7539115	4.282061
0.02316262	0.1253384	0.7249322	3.084532	0.9746001	0.09206132	0.5435585	0.742168	4.291497
0.02248917	0.1230506	0.7188559	3.059177	0.9711064	0.09013058	0.4456746	0.4288464	2.610503
