# omega_b	omega_cdm	H0	ln10^{10}A_s	n_s	tau_reio
0.02267474	0.1123539	70.02124	3.170762	0.9857417	0.1152586
0.02267474	0.1123539	70.02124	3.170762	0.9857417	0.1152586
0.0225658	0.1109452	70.46512	3.154759	0.9799003	0.1113087
0.02239395	0.1117085	70.1518	3.138343	0.9763051	0.1027993
0.02255429	0.1124658	69.9114	3.13184	0.9751394	0.09726433
0.0226338	0.1120735	70.11013	3.133473	0.976316	0.09729515
0.022525279	0.1124815	69.93985	3.140831	0.9829237	0.1032251
0.02262356	0.1124516	70.07151	3.151955	0.9788302	0.1096704
0.022666099	0.1129454	70.05386	3.13874	0.9847186	0.1183222
0.022651961	0.1123978	70.3417	3.144946	0.983812	0.1158633
0.022498788	0.112174	70.06044	3.130642	0.9875262	0.1047796
0.022324309	0.1125952	69.68409	3.109347	0.9814989	0.09514232
0.022286939	0.1122203	69.77945	3.107628	0.9817097	0.09805945
0.02243279	0.1132975	69.66923	3.093522	0.9827316	0.09350866
0.02252541	0.1126222	69.90658	3.123234	0.9832378	0.1080155
0.0226803	0.1113418	70.40393	3.11726	0.9904109	0.1046433
0.02259371	0.1107666	70.64097	3.139902	0.996493	0.1186
0.022234239	0.1162191	69.30125	3.086469	0.9598102	0.08883476
0.022299558	0.1163571	69.34584	3.093191	0.9650513	0.09057138
0.022257868	0.1163426	69.10246	3.092158	0.9703828	0.09042714
0.02223073	0.1164435	69.3557	3.116697	0.9709398	0.1028655
0.0222881	0.1162435	69.30281	3.108074	0.9703396	0.09647261
0.0223003	0.1170426	69.01824	3.126771	0.9687553	0.1027588
0.0223076	0.1170054	69.15989	3.083158	0.969954	0.08117339
0.022272648	0.1177119	68.90527	3.125216	0.9646946	0.1007826
0.02286326	0.1153285	69.90225	3.122521	0.97402	0.09703711
0.022595119	0.1153112	69.52038	3.152525	0.9777119	0.1123675
0.022595119	0.1153112	69.52038	3.152525	0.9777119	0.1123675
